Inst.,ACS_Avg,ACS_Std,PSO_Avg,PSO_Std,GA_Avg,GA_Std,MEAVRPTW_Avg,MEAVRPTW_Std,cost_reduction_percent
C101,3141.8674456798203,0.0,3092.2564729270075,28.30319140511069,1535.8079433068247,67.8437566169586,2459.3730737602355,46.26263006976958,-60.13545733230398
C102,2248.906834612346,0.0,2242.6325302099135,10.81322701188077,1360.684893289002,78.28488193833068,1953.0420320351047,21.369823208689834,-43.53374845768125
C103,2116.1203208998277,4.547473508864641e-13,2080.941605524722,36.225445792592545,1420.921094841775,47.25720546122407,1773.2394601207748,13.352362897992712,-24.795068956185204
C104,1838.678241044508,72.15535764980785,2057.612980948442,25.854391985440465,1244.5095838552081,38.93601586314921,1703.396316621487,33.06293129283612,-36.87289665899976
C105,1963.969740582354,2.2737367544323206e-13,1948.9152596404151,17.963691496642817,1400.4493276559695,50.9298525287571,1705.4401994277034,24.166242934498626,-21.77807263346105
C106,2149.7429133997584,4.547473508864641e-13,2144.584066714228,8.353837759301056,1559.0457782154654,51.315126518136914,1966.0470966274133,18.777993539035947,-26.10579651341701
C107,2149.522121126613,9.094947017729282e-13,2127.883975345013,26.92640338123468,1498.120575590566,72.86997545698374,1830.554939856187,19.55654930588654,-22.190094020608047
C108,2087.3931132267326,0.0,2048.8487222344625,42.25800215447999,1404.9320537023752,48.92202963596061,1704.4809409317818,23.262519470871396,-21.32123659930844
C109,2028.496074745853,20.03791379390545,1996.6913905955353,26.706834536234553,1318.048655577887,59.94402841541136,1707.4181276440179,18.199704660972703,-29.54135800816967
C201,1266.3325411361625,0.0,1264.0218138795217,7.1223033813041186,1043.6807846499762,21.83347322213697,1146.2688894523737,21.54432717811909,-9.829452291468886
C202,1999.7036986427993,0.0,1992.0549463331085,12.415072404775927,1147.990298017788,73.19564870671006,1688.4903302674118,24.606564526948773,-47.082282244274566
C203,1792.5552633405512,0.0,1776.5117439545004,23.267568284851684,1221.5499637999721,47.5068760699527,1507.7609819585443,18.11710483206712,-23.43015239984396
C204,1901.1270397373414,60.40536069926067,2165.4932258054064,51.72822053657272,1248.068284940343,39.6327116263163,1724.925455890471,46.17415827264702,-38.20761866190052
C205,1564.3417152544575,2.2737367544323206e-13,1561.8785854757482,5.5722793785528175,1014.6508345664926,102.50303225105615,1239.4909725666903,38.19714714009951,-22.159360672704736
C206,1478.8091902313795,2.2737367544323206e-13,1472.9593040254092,11.626995706551336,1033.3464271474932,80.16323033740709,1312.9309201033107,21.152331247954535,-27.056220993340833
C207,1388.3332778968531,2.2737367544323206e-13,1372.2911055072104,29.583916041091786,975.9024766919787,41.90286324946023,1210.1103012345939,20.208107426669685,-23.999101358622493
C208,1466.661715960859,4.547473508864641e-13,1456.0655163205963,24.605085766588978,1097.3923845342908,73.02362235353147,1271.3992467851829,20.60094315361918,-15.856394185270084
R101,8890.843067051896,1.8189894035458565e-12,8625.897722901318,156.08518146768873,2919.910649994838,387.31065573294626,5809.363609023147,255.6149409993181,-98.9568964733019
R102,7736.3568944942135,332.39164371918025,8488.332668069077,103.36835012081649,2172.221050343594,255.8595065977073,4919.130112736837,197.68020677829404,-126.4562398913659
R103,4610.080505844996,229.2167576436123,5449.142706719697,173.40041902708694,1656.1704697733433,31.626945719049218,2424.5252777475,73.55501006479331,-46.39346142183724
R104,2194.0003383439216,78.0380789311811,3383.0373186147563,104.4650362585145,1461.7969559584178,56.53318294645556,2038.425985841515,40.35256756428912,-39.446588497308376
R105,7513.558065760367,113.65678710480317,7272.290515453882,127.23192355286893,1834.2522921828345,54.04511255062678,4205.978225271627,199.12644335169122,-129.30205638540284
R106,5247.800547289035,134.55057411800803,5101.479148955659,125.54927763656009,1689.0738109383879,49.008815618417465,2844.626375432907,126.44543059933577,-68.41338472073853
R107,3390.5065018237024,198.22414017189877,3209.832632195386,107.01062303081295,1520.3130085295893,45.166243321441094,2110.0682744900287,35.08807617037471,-38.7917003045864
R108,2103.001185639998,50.68313268701126,2254.8015965621294,20.44614086744026,1393.3294624235753,42.327331446962006,1924.7704910873117,19.697980852401265,-38.14180658602748
R109,3588.5043457034176,4.547473508864641e-13,3478.5964008123738,121.73487383824951,1640.4062896754926,61.25627924987095,2299.2456425007886,31.272168142792136,-40.16318133940028
R110,2817.5558610133194,286.02531620710965,2794.4323070316887,89.18370732175318,1543.5956537897441,64.28744021901706,2160.562477577193,18.555215704869333,-39.96945847007982
R111,2884.42089382741,231.98837758239125,4072.5529347059733,109.4664648650934,1554.4351278007687,51.941532711206996,2230.779913566975,27.96455324052375,-43.51064728723072
R112,1991.0939366272862,53.183817856289586,2211.6393231947372,24.812336064078586,1430.5283359881514,28.935002198891418,1875.5524411371462,34.649433292411814,-31.109073057374285
R201,2447.8357064804927,9.094947017729282e-13,2408.891826627555,26.672794274757866,1530.8643994968345,50.794884706054376,2076.2235763149474,17.67493334646959,-35.624264108392744
R202,2293.4443800993386,4.547473508864641e-13,2276.2770109062444,14.788297444008197,1426.1682884960517,47.00272871895221,1964.6742526732542,16.947070935090398,-37.758935500177
R203,2195.149740322575,63.10007117108971,2307.2340039123687,17.989790502095918,1302.9231116149958,41.59799270184544,1941.0805583157794,29.710339407352603,-48.978902976843834
R204,1835.3588190508606,54.749004565034554,2085.5109606471947,20.547175553542264,1120.7800865369654,31.182602196838424,1695.2543090888528,26.335924791014495,-51.256640749830105
R205,2063.927097160433,4.547473508864641e-13,2053.1296601950953,12.908153004415723,1340.7227995244232,48.89423855808366,1812.0766651666484,13.765398651441291,-35.156697999722404
R206,2171.214545923556,57.28914600678597,2184.5465966433776,18.56117655659658,1255.5501173440366,51.02224986659308,1845.0395232060077,24.196651513543536,-46.95068701112181
R207,2006.1933119610635,63.71357868722365,2249.3973102031464,28.85950623055358,1242.2965525309269,32.74392595974634,1834.0732388433676,23.13296313665375,-47.6357022086889
R208,1719.9415210695229,57.58559569830448,2011.3599395877197,16.36701723981229,1106.6791792103456,33.127120979339075,1609.4841476832846,29.618284869025572,-45.43367020166657
R209,2053.4914297057617,6.053827575153131,2035.6962224750196,17.04129002486847,1273.8673742426001,35.63634786674536,1765.2688768349467,35.26981163064524,-38.57556230172845
R210,2148.070404398071,55.57000963680818,2160.452298891164,17.63478677786428,1326.8096968737514,45.48268541287823,1901.6108259702107,32.547151203864345,-43.32204764939646
R211,1787.703104029036,63.59051373769646,1928.629266437218,18.930481570920154,1185.7944174446684,39.19606076847845,1673.8483088959733,32.889996224329956,-41.15839004395368
RC101,8473.640586666204,298.0349196669971,10533.128522231877,174.60395330421042,2611.8205702696355,291.1353884640022,6766.849629445801,156.0260107634383,-159.08554770082137
RC102,6102.62199728175,216.4312246715802,8409.363146601201,196.11367278068917,2174.4349624573183,83.93783508749468,5013.205099460752,143.02356621790753,-130.55208300161587
RC103,3477.01769487192,364.87191838831956,5269.533541752912,78.35501504922733,1962.8979147449943,99.05395631508624,2952.073537287103,46.723995657696804,-50.39363560945122
RC104,2370.5594210678864,50.81943679683942,3522.3623746815406,187.50298899055852,1743.825441032547,80.35394594208749,2182.4800135874675,42.78335271350792,-25.15472949489636
RC105,6341.290855939818,258.37111220540044,6699.143804455291,277.95935013921064,2227.1212328279485,122.97058237783386,4268.86422564744,126.38014917614089,-91.67632918783379
RC106,4736.8162478983595,286.7162904941166,5598.854372243041,98.67605761824014,2060.3996814138204,73.87139665127529,3486.02807199429,153.5051812107462,-69.19183707125313
RC107,2779.4850007158548,189.7755257961763,4419.858533731548,131.30929207916773,1895.3491816011394,60.31752360915002,2411.9681083586524,33.428535548475736,-27.25718995594719
RC108,2287.1747173873264,64.2114334034896,2808.0234162394854,47.77911501017407,1721.8406115713533,59.96018097771303,2132.8004303166463,33.38997493527902,-23.86747158729464
RC201,3023.4253596650533,0.0,2981.5003141543266,34.797976878930136,1936.4875241109341,55.090790263597164,2555.2406176876348,37.88880168529559,-31.952340816694804
RC202,3052.431246235394,120.35726560779138,3093.381037173848,21.26585019911177,1691.1078928959676,63.521764470498255,2597.739698290259,36.491719201256615,-53.61170681083594
RC203,2411.7173897887214,57.44641374924626,2830.093175021787,24.01634097086262,1602.3096698156314,59.14155694958517,2204.6450255279997,58.15427972031245,-37.59169448073514
RC204,1966.222141828499,52.754058848054065,2545.457868578485,32.83968033613827,1412.3974184276058,63.706602566485984,1797.8415263089842,29.769822749657447,-27.29006035075352
RC205,3235.9773274357854,53.11060163124825,3211.7493696748757,29.80067394761721,1833.2278829592947,64.96235521580425,2638.424574918855,42.387040712263136,-43.92234590386922
RC206,2630.314511178688,0.0,2599.5523575744846,27.60952070707318,1735.0435099829706,63.04654262269629,2343.8256625509425,18.588819148914844,-35.08742858984252
