instance,algorithm,avg_objective,std_objective,best_objective,best_distance,vehicles_used,feasible,vehicle_limit,capacity
C101,GA,1535.8079433068247,67.8437566169586,1441.5398296317746,1441.5398296317746,17,True,25,200.0
C101,PSO,3092.2564729270075,28.30319140511069,3033.130591328656,3033.130591328656,22,True,25,200.0
C101,ACS,3141.8674456798203,0.0,3141.8674456798203,3141.8674456798203,22,True,25,200.0
C101,MEAF,2459.3730737602355,46.26263006976958,2355.7165017652314,2355.7165017652314,21,True,25,200.0
C102,GA,1360.684893289002,78.28488193833068,1235.0184702194329,1235.0184702194329,16,True,25,200.0
C102,PSO,2242.6325302099135,10.81322701188077,2210.1773394187126,2210.1773394187126,18,True,25,200.0
C102,ACS,2248.906834612346,0.0,2248.906834612346,2248.906834612346,17,True,25,200.0
C102,MEAF,1953.0420320351047,21.369823208689834,1911.2492142080307,1911.2492142080307,16,True,25,200.0
C103,GA,1420.921094841775,47.25720546122407,1324.960885861504,1324.960885861504,15,True,25,200.0
C103,PSO,2080.941605524722,36.225445792592545,2011.8466912319716,2011.8466912319716,16,True,25,200.0
C103,ACS,2116.1203208998277,4.547473508864641e-13,2116.120320899828,2116.120320899828,16,True,25,200.0
C103,MEAF,1773.2394601207748,13.352362897992712,1752.927044041259,1752.927044041259,15,True,25,200.0
C104,GA,1244.5095838552081,38.93601586314921,1160.4524891584506,1160.4524891584506,12,True,25,200.0
C104,PSO,2057.612980948442,25.854391985440465,1996.3553819393405,1996.3553819393405,11,True,25,200.0
C104,ACS,1838.678241044508,72.15535764980785,1589.1600961079723,1589.1600961079723,16,True,25,200.0
C104,MEAF,1703.396316621487,33.06293129283612,1615.945324362898,1615.945324362898,16,True,25,200.0
C105,GA,1400.4493276559695,50.9298525287571,1300.576528721065,1300.576528721065,16,True,25,200.0
C105,PSO,1948.9152596404151,17.963691496642817,1899.1121148483778,1899.1121148483778,16,True,25,200.0
C105,ACS,1963.969740582354,2.2737367544323206e-13,1963.9697405823538,1963.9697405823538,16,True,25,200.0
C105,MEAF,1705.4401994277034,24.166242934498626,1641.1135322423218,1641.1135322423218,15,True,25,200.0
C106,GA,1559.0457782154654,51.315126518136914,1463.2460731934084,1463.2460731934084,15,True,25,200.0
C106,PSO,2144.584066714228,8.353837759301056,2119.4515279048496,2119.4515279048496,18,True,25,200.0
C106,ACS,2149.7429133997584,4.547473508864641e-13,2149.742913399759,2149.742913399759,17,True,25,200.0
C106,MEAF,1966.0470966274133,18.777993539035947,1933.9915718734605,1933.9915718734605,17,True,25,200.0
C107,GA,1498.120575590566,72.86997545698374,1348.9373198029555,1348.9373198029555,14,True,25,200.0
C107,PSO,2127.883975345013,26.92640338123468,2043.8823079830374,2043.8823079830374,16,True,25,200.0
C107,ACS,2149.522121126613,9.094947017729282e-13,2149.522121126614,2149.522121126614,16,True,25,200.0
C107,MEAF,1830.554939856187,19.55654930588654,1786.0330040112551,1786.0330040112551,16,True,25,200.0
C108,GA,1404.9320537023752,48.92202963596061,1332.053942629342,1332.053942629342,14,True,25,200.0
C108,PSO,2048.8487222344625,42.25800215447999,1936.2849309947396,1936.2849309947396,17,True,25,200.0
C108,ACS,2087.3931132267326,0.0,2087.3931132267326,2087.3931132267326,17,True,25,200.0
C108,MEAF,1704.4809409317818,23.262519470871396,1660.0540787493635,1660.0540787493635,14,True,25,200.0
C109,GA,1318.048655577887,59.94402841541136,1210.6987781764226,1210.6987781764226,13,True,25,200.0
C109,PSO,1996.6913905955353,26.706834536234553,1952.4938358357085,1952.4938358357085,15,True,25,200.0
C109,ACS,2028.496074745853,20.03791379390545,1939.5746907562707,1939.5746907562707,24,True,25,200.0
C109,MEAF,1707.4181276440179,18.199704660972703,1668.0190950694116,1668.0190950694116,16,True,25,200.0
C201,GA,1043.6807846499762,21.83347322213697,1002.2800332995628,1002.2800332995628,8,True,25,700.0
C201,PSO,1264.0218138795217,7.1223033813041186,1241.9134538741444,1241.9134538741444,7,True,25,700.0
C201,ACS,1266.3325411361625,0.0,1266.3325411361625,1266.3325411361625,5,True,25,700.0
C201,MEAF,1146.2688894523737,21.54432717811909,1098.4808486605089,1098.4808486605089,8,True,25,700.0
C202,GA,1147.990298017788,73.19564870671006,1020.0306241297716,1020.0306241297716,7,True,25,700.0
C202,PSO,1992.0549463331085,12.415072404775927,1951.047140730798,1951.047140730798,5,True,25,700.0
